Website,Username,Password
demor,retrieve_success,123456
Website,Username,Password
demor,retrieve_success,1234567
Website,Username,Password
Facebook,demouser65312,cb%y%*5%huJJrKp
Website,Username,Password
Smasher,AnonymousUser,itzzzas111
Website,Username,Password
Linkedin,CS_Enthusiast,987654321
Website,Username,Password
Cisco,retrieval_working,123456789
Website,Username,Password
snapchat.com,Aron4523,*Ew@_J2hK$c^LmQ
Website,Username,Password
linkedin.com,test@gmail.com,JW2u6By8aJvPAT_
